Name,Brand,Scent Profile,Likes,Price 1Ml,Price Travel Size,Price Small Retail,Price Big Retail,Gender,Rating,Base,Middle,Top,mainaccord1,mainaccord2,mainaccord3,mainaccord4,mainaccord5
green-irish-tweed,creed,,9196,,,,,men,4.31,,,,,,,,
greenley,parfums-de-marly,,3379,,,,,unisex,4.23,,,,,,,,
grey-vetiver,tom-ford,,6933,,,,,men,4.29,,,,,,,,
habdan,parfums-de-marly,,1170,,,,,unisex,4.26,,,,,,,,
haltane,parfums-de-marly,,2089,,,,,men,4.36,,,,,,,,
herod,parfums-de-marly,,8151,,,,,men,4.45,,,,,,,,
higher,dior,,1317,,,,,men,4.14,,,,,,,,
higher-energy,dior,,1317,,,,,men,4.05,,,,,,,,
himalaya,creed,,2387,,,,,men,4.04,,,,,,,,
infusion-d-homme,prada,,2550,,,,,men,4.24,,,,,,,,
k-by-dolce-gabbana,dolce-gabbana,,2991,,,,,men,3.59,,,,,,,,
k-by-dolce-gabbana-eau-de-parfum,dolce-gabbana,,2211,,,,,men,3.97,,,,,,,,
kalan,parfums-de-marly,,2220,,,,,unisex,3.69,,,,,,,,
lavender-extreme,tom-ford,,1092,,,,,unisex,4.12,,,,,,,,
layton,parfums-de-marly,,11455,,,,,unisex,4.46,,,,,,,,
layton-exclusif,parfums-de-marly,,2687,,,,,unisex,4.34,,,,,,,,
le-beau,jean-paul-gaultier,,6599,,,,,men,4.31,,,,,,,,
le-beau-le-parfum,jean-paul-gaultier,,7651,,,,,men,4.56,,,,,,,,
le-beau-male,jean-paul-gaultier,,1024,,,,,men,3.57,,,,,,,,
le-beau-paradise-garden,jean-paul-gaultier,,3316,,,,,men,4.32,,,,,,,,
le-lion-eau-de-parfum,chanel,,1912,,,,,unisex,4.11,,,,,,,,
le-male,jean-paul-gaultier,,18841,,,,,men,4.01,,,,,,,,
le-male-elixir,jean-paul-gaultier,,10388,,,,,men,4.56,,,,,,,,
le-male-essence-de-parfum,jean-paul-gaultier,,1589,,,,,men,4.21,,,,,,,,
