Perfume,Brand,Scent Profile,Votes,Price 1Ml,Price Travel Size,Price Small Retail,Price Big Retail,Gender,Rating Value,Base,Middle,Top,mainaccord1,mainaccord2,mainaccord3,mainaccord4,mainaccord5
armani prive bleu lazuli,giorgio armani,,853,,,,,unisex,4.13,,,,sweet,fruity,aromatic,warm spicy,tobacco
armani prive bleu turquoise,giorgio armani,,1204,,,,,unisex,4.1,,,,woody,vanilla,salty,warm spicy,amber
armani prive rouge malachite,giorgio armani,,2245,,,,,unisex,4.2,,,,white floral,amber,tuberose,animalic,yellow floral
armani prive vert malachite,giorgio armani,,1419,,,,,unisex,4.14,,,,white floral,vanilla,yellow floral,citrus,sweet
asad,lattafa perfumes,,5345,,,,,men,4.28,,,,amber,vanilla,fresh spicy,woody,warm spicy
asad zanzibar,lattafa perfumes,,700,,,,,men,3.78,,,,vanilla,iris,powdery,lavender,fresh spicy
at the barber s,maison martin margiela,,1476,,,,,men,3.81,,,,fresh spicy,aromatic,lavender,musky,herbal
athalia,parfums de marly,,1237,,,,,women,3.79,,,,powdery,iris,musky,white floral,amber
autumn vibes,maison martin margiela,,2619,,,,,unisex,3.45,,,,woody,powdery,fresh spicy,warm spicy,mossy
aventus,creed,,19581,,,,,men,4.34,,,,fruity,sweet,leather,woody,smoky
aventus cologne,creed,,2102,,,,,men,4.24,,,,citrus,woody,musky,warm spicy,leather
aventus for her,creed,,2535,,,,,women,3.63,,,,fruity,citrus,woody,powdery,musky
baby doll,yves saint laurent,,3854,,,,,women,3.81,,,,fruity,rose,floral,sweet,woody
babycat,yves saint laurent,,1878,,,,,unisex,4.3,,,,vanilla,fresh spicy,warm spicy,leather,amber
baccarat rouge 540,maison francis kurkdjian,,20435,,,,,unisex,3.86,,,,woody,amber,warm spicy,fresh spicy,aromatic
baccarat rouge 540 extrait de parfum,maison francis kurkdjian,,7752,,,,,unisex,4.26,,,,woody,almond,amber,warm spicy,animalic
bade e al oud amethyst,lattafa perfumes,,1684,,,,,unisex,4.11,,,,rose,oud,amber,soft spicy,floral
bade e al oud honor glory,lattafa perfumes,,1487,,,,,unisex,4.31,,,,sweet,warm spicy,fruity,vanilla,woody
bade e al oud oud for glory,lattafa perfumes,,4222,,,,,unisex,4.19,,,,oud,warm spicy,fresh spicy,patchouli,metallic
bade e al oud sublime,lattafa perfumes,,744,,,,,unisex,4.33,,,,fruity,fresh,tropical,rose,mossy
beach walk,maison martin margiela,,5821,,,,,women,3.75,,,,yellow floral,sweet,coconut,powdery,musky
beau de jour eau de parfum,tom ford,,3046,,,,,men,4.29,,,,aromatic,fresh spicy,lavender,woody,patchouli
belle d opium,yves saint laurent,,5078,,,,,women,4,,,,white floral,fruity,amber,warm spicy,woody
bitter peach,tom ford,,4924,,,,,unisex,3.71,,,,woody,warm spicy,fruity,amber,vanilla
black opium,yves saint laurent,,25669,,,,,women,3.93,,,,vanilla,coffee,sweet,warm spicy,white floral
black opium eau de toilette,yves saint laurent,,1319,,,,,women,3.85,,,,fruity,coffee,white floral,citrus,sweet
black opium extreme,yves saint laurent,,1873,,,,,women,4.02,,,,warm spicy,coffee,cacao,vanilla,white floral
black opium floral shock,yves saint laurent,,1681,,,,,women,3.98,,,,white floral,fruity,coffee,sweet,citrus
black opium illicit green,yves saint laurent,,1508,,,,,women,3.89,,,,vanilla,sweet,coffee,fruity,white floral
black opium intense,yves saint laurent,,1874,,,,,women,3.95,,,,coffee,aromatic,vanilla,warm spicy,soft spicy
black opium le parfum,yves saint laurent,,2089,,,,,women,4.31,,,,vanilla,warm spicy,coffee,sweet,white floral
black opium neon,yves saint laurent,,1130,,,,,women,3.81,,,,white floral,citrus,coffee,vanilla,tropical
black opium nuit blanche,yves saint laurent,,2275,,,,,women,4.06,,,,lactonic,sweet,vanilla,caramel,coffee
black opium over red,yves saint laurent,,1626,,,,,women,4.04,,,,vanilla,cherry,sweet,white floral,coffee
black orchid,tom ford,,26053,,,,,women,3.91,,,,warm spicy,earthy,woody,sweet,amber
black orchid eau de toilette,tom ford,,1164,,,,,women,4.11,,,,woody,earthy,floral,sweet,fruity
black orchid parfum,tom ford,,2336,,,,,unisex,4.09,,,,earthy,sweet,woody,patchouli,yellow floral
black orchid voile de fleur,tom ford,,1720,,,,,women,4.14,,,,fruity,white floral,sweet,lactonic,woody
black violet,tom ford,,930,,,,,unisex,4.13,,,,woody,violet,citrus,mossy,powdery
bleu de chanel,chanel,,17669,,,,,men,4.17,,,,citrus,woody,warm spicy,aromatic,amber
bleu de chanel eau de parfum,chanel,,13646,,,,,men,4.42,,,,citrus,amber,woody,warm spicy,aromatic
bleu de chanel parfum,chanel,,6524,,,,,men,4.4,,,,woody,citrus,aromatic,amber,fresh spicy
blonde,versace,,1041,,,,,women,4.1,,,,white floral,tuberose,animalic,yellow floral,musky
blue jeans,versace,,7864,,,,,men,3.82,,,,aromatic,fresh spicy,woody,citrus,vanilla
body kouros,yves saint laurent,,3088,,,,,men,4.18,,,,amber,woody,warm spicy,camphor,aromatic
bois d argent,dior,,2234,,,,,unisex,4.24,,,,amber,woody,powdery,iris,sweet
bois des iles,chanel,,1883,,,,,women,4.35,,,,woody,powdery,amber,aldehydic,iris
bois du portugal,creed,,2084,,,,,men,4.2,,,,woody,aromatic,lavender,citrus,powdery
bonbon,viktor rolf,,5358,,,,,women,3.96,,,,caramel,sweet,citrus,white floral,fruity
bouquet ideale,xerjoff,,2926,,,,,women,4.16,,,,woody,vanilla,warm spicy,powdery,cinnamon
boy eau de parfum,chanel,,1301,,,,,unisex,4.11,,,,aromatic,powdery,fresh spicy,vanilla,lavender
bright crystal,versace,,20348,,,,,women,3.73,,,,floral,citrus,fresh,woody,fresh spicy
bright crystal absolu,versace,,4009,,,,,women,3.9,,,,floral,fruity,fresh,sweet,woody
bubble bath,maison martin margiela,,3337,,,,,unisex,3.67,,,,soapy,coconut,musky,sweet,lavender
by,dolce gabbana,,1439,,,,,women,4.19,,,,warm spicy,powdery,woody,lavender,musky
by the fireplace,maison martin margiela,,15275,,,,,unisex,4.24,,,,woody,vanilla,balsamic,warm spicy,amber
cafe rose,tom ford,,2559,,,,,unisex,4.06,,,,warm spicy,rose,woody,amber,patchouli
cafe rose 2023,tom ford,,1361,,,,,women,3.63,,,,warm spicy,rose,woody,patchouli,aromatic
caftan,yves saint laurent,,795,,,,,unisex,4.26,,,,amber,warm spicy,musky,balsamic,
carlisle,parfums de marly,,4091,,,,,unisex,4.39,,,,vanilla,patchouli,fresh spicy,warm spicy,woody
carmina,creed,,795,,,,,women,3.75,,,,rose,amber,musky,floral,cherry
cassili,parfums de marly,,2365,,,,,women,3.85,,,,floral,fruity,sweet,vanilla,fresh
champaca absolute,tom ford,,2082,,,,,unisex,4.01,,,,floral,sweet,woody,powdery,nutty
chance eau de parfum,chanel,,5409,,,,,women,4.05,,,,musky,patchouli,powdery,white floral,woody
chance eau de toilette,chanel,,11921,,,,,women,3.93,,,,patchouli,woody,sweet,earthy,citrus
chance eau fraiche,chanel,,13987,,,,,women,4.08,,,,woody,citrus,aromatic,floral,musky
chance eau fraiche eau de parfum,chanel,,752,,,,,women,4.11,,,,citrus,aldehydic,woody,fresh,white floral
chance eau tendre,chanel,,17053,,,,,women,4.12,,,,floral,fruity,citrus,sweet,fresh spicy
chance eau tendre eau de parfum,chanel,,3272,,,,,women,4.22,,,,rose,fruity,citrus,musky,floral
chance eau vive,chanel,,3802,,,,,women,3.8,,,,citrus,woody,fresh spicy,powdery,white floral
chanel n019,chanel,,5166,,,,,women,4.1,,,,green,earthy,woody,iris,powdery
chanel n022,chanel,,1379,,,,,women,4.26,,,,white floral,fresh,aldehydic,yellow floral,iris
chanel n05 eau premiere,chanel,,6131,,,,,women,4.22,,,,woody,aldehydic,fresh,white floral,yellow floral
chanel no 19 eau de parfum,chanel,,6042,,,,,women,4.17,,,,green,earthy,woody,iris,mossy
chanel no 19 parfum,chanel,,1581,,,,,women,4.34,,,,green,woody,earthy,aromatic,iris
chanel no 19 poudre,chanel,,5405,,,,,women,4.13,,,,iris,green,powdery,aromatic,earthy
chanel no 5 eau de cologne,chanel,,910,,,,,women,4.05,,,,powdery,woody,musky,white floral,earthy
chanel no 5 eau de parfum,chanel,,8794,,,,,women,3.65,,,,woody,aldehydic,fresh,white floral,powdery
chanel no 5 eau de toilette,chanel,,5528,,,,,women,4.01,,,,woody,powdery,aldehydic,fresh,iris
chanel no 5 eau premiere 2015,chanel,,4007,,,,,women,4.33,,,,aldehydic,woody,fresh,yellow floral,white floral
chanel no 5 l eau,chanel,,5868,,,,,women,4.13,,,,citrus,aldehydic,fresh,woody,powdery
chanel no 5 parfum,chanel,,13217,,,,,women,3.69,,,,powdery,woody,aldehydic,iris,fresh
cherry smoke,tom ford,,1420,,,,,unisex,4.09,,,,cherry,woody,smoky,leather,sweet
chinotto di liguria,acqua di parma,,752,,,,,unisex,3.9,,,,aromatic,citrus,fresh spicy,warm spicy,musky
cinema,yves saint laurent,,10251,,,,,women,4.1,,,,floral,vanilla,amber,sweet,citrus
classique,jean paul gaultier,,11424,,,,,women,3.92,,,,white floral,sweet,powdery,citrus,vanilla
classique eau de parfum,jean paul gaultier,,3145,,,,,women,4.2,,,,vanilla,floral,sweet,powdery,amber
classique essence de parfum,jean paul gaultier,,2036,,,,,women,4.32,,,,vanilla,white floral,sweet,citrus,warm spicy
classique intense,jean paul gaultier,,1348,,,,,women,4.11,,,,white floral,vanilla,woody,sweet,fruity
classique x,jean paul gaultier,,827,,,,,women,3.97,,,,citrus,white floral,floral,powdery,woody
